Name,sym3,sym1,Polarity,Charge,Hydro,Color
Alanine,"	Ala","	A","	nonpolar","	neutral","	1.8","	[#CCFFFF]"
Arginine,"	Arg","	R","	Basic-polar","	positive","	-4.5","	[#E60606]"
Asparagine,"	Asn","	N","	polar","	neutral","	-3.5","	[#FF9900]"
AsparticAcid,"	Asp","	D","	acidic-polar","	negative","	-3.5","	[#FFCC99]"
Cysteine,"	Cys","	C","	nonpolar","	neutral","	2.5","	[#00FFFF]"
GlutamicAcid,"	Glu","	E","	acidic-polar","	negative","	-3.5","	[#FFCC00]"
Glutamine,"	Gln","	Q","	polar","	neutral","	-3.5","	[#FF6600]"
Glycine,"	Gly","	G","	nonpolar","	neutral","	-0.4","	[#00FF00]"
Histidine,"	His","	H","	Basic-polar",neutral,-3.2,"	[#FFFF99]"
Isoleucine,"	Ile","	I","	nonpolar","	neutral","	4.5","	[#000080]"
Leucine,"	Leu","	L","	nonpolar","	neutral","	3.8","	[#3366FF]"
Lysine,"	Lys","	K","	Basic-polar","	positive","	-3.9","	[#C64200]"
Methionine,"	Met","	M","	nonpolar","	neutral","	1.9","	[#99CCFF]"
Phenylalanine,"	Phe","	F","	nonpolar","	neutral","	2.8","	[#00CCFF]"
Proline,"	Pro","	P","	nonpolar","	neutral","	-1.6","	[#FFFF00]"
Serine,"	Ser","	S","	polar","	neutral","	-0.8","	[#CCFF99]"
Threonine,"	Thr","	T","	polar","	neutral","	-0.7","	[#00FF99]"
Tryptophan,"	Trp","	W","	nonpolar","	neutral","	-0.9","	[#CC99FF]"
Tyrosine,"	Tyr","	Y","	polar","	neutral","	-1.3","	[#CCFFCC]"
Valine,"	Val","	V","	nonpolar","	neutral","	4.2","	[#0000FF]"
