TypeMM2,Sym,description,AtWt,AtNo
1,C,CSP3,12.000,6
2,C,CSP2 ALKENE,12.000,6
3,C,CSP2 CARBONYL,12.000,6
4,C,"CSP ALKYNE: C=C=O",12.000,6
5,H,EXCEPT ON N/O,1.008,1
6,O,"C-O-H: C-O-C",15.995,8
7,O,=O CARBONYL,15.995,8
8,N,NSP3,14.003,7
9,N,NSP2 (AMIDE),14.003,7
10,N,NSP,14.003,7
11,F,FLUORIDE,18.998,9
12,Cl,CHLORIDE,34.969,17
13,Br,BROMIDE,78.918,35
14,I,IODIDE,126.9,53
15,S,-S- SULFIDE,31.972,16
16,S+,>S+ S-FONIUM,31.972,16
17,S,>S=O S-OXIDE,31.972,16
18,S,>SO2 SULFONE,31.972,16
19,Si,SILANE,27.977,14
20,LP,LONE PAIR,0,255
21,H,-OH ALCOHOL,1.008,1
22,C,CYCLOPROPANE,12,6
23,H,NH AMINE,1.008,1
24,H,COOH CARBOXYL,1.008,1
25,P,>P- PHOSPHINE,30.994,15
26,B,TRIGONAL,11.009,5
27,B,TETRAHEDRAL,11.009,5
28,H,C=COH/AMIDE,1.008,1
29,C,RADICAL,12,6
30,C+,CARBONIUM ION,12,6
31,Ge,GERMANIUM,73.922,32
32,Sn,TIN,117.902,50
33,Pb,LEAD (IV),207.977,82
34,Se,SELENIUM,79.917,34
35,Te,TELLURIUM,129.907,52
36,D,DEUTERIUM,2.014,1
37,N,"-N= AZO:PYRIDINE",14.003,7
38,C,CSP2 CYCPROPENE,12,6
39,N,NSP3 (AMMONIUM),14.003,7
40,N,NSP2 (PYRROLE),14.003,7
41,O,OSP2 (FURAN),15.995,8
42,S,SSP2 (THIOPHENE),31.972,16
43,N,-N=N-O AZOXY,14.003,7
45,N,AZIDE (CENTER-N),14.003,7
46,N,NO2 (NITRO),14.003,7
47,O,CARBOXYLATE,15.995,8
48,H,AMMONIUM,1.008,1
49,O,EPOXY,15.995,8
50,C,BENZENE,12,6
51,He,HELIUM,4.003,2
52,Ne,NEON,20.179,10
53,Ar,ARGON,39.948,18
54,Kr,KRYPTON,83.8,36
55,Xe,XENON,131.3,54
59,Mg,MAGNESIUM,24.301,12
60,P,P (V),30.994,15
61,Fe,IRON (II),55.847,26
62,Fe,IRON (III),55.847,26
63,Ni,NICKEL (II),58.71,28
64,Ni,NICKEL (III),58.71,28
65,Co,COBALT (II),58.933,27
66,Co,COBALT (III),58.933,27
69,O,AMINE OXIDE,15.995,8
70,O,KETONIUM OXYGEN,15.995,8
71,C,KETONIUM CARBON,12,6
72,N,"=N- IMINE: OXIME",14.003,7
73,N+,-N(+)= PYRIDIN.,14.003,7
74,N+,-N(+)= IMMINIUM,14.003,7
75,N,N-OH (OXIME),14.003,7
